gender,age,under_30,senior_citizen,number_of_dependents,married,city,zip_code,total_population,phone_service,internet_service,online_security,online_backup,device_protection,premium_tech_support,streaming_tv,streaming_movies,streaming_music,internet_type,contract,paperless_billing,payment_method,monthly_ charges,avg_monthly_long_distance_charges,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,tenure,internet_service,phone_service,multiple_lines,avg_monthly_gb_download,unlimited_data,offer,referred_a_friend,number_of_referrals,customer_status,churn_reason,churn_value
Male,67,No,Yes,0,No,Morgan Hill,95037,41707,No,Yes,No,No,No,No,No,No,No,Cable,Month-to-Month,Yes,Electronic check,25.1,0.0,25.1,0.0,0,0.0,25.1,1,Yes,No,No,9,Yes,No,No,0,Churned,Competitor made better offer,1
Female,79,No,Yes,0,Yes,Ahwahnee,93601,1968,Yes,No,No,No,No,No,No,No,No,,One Year,No,Electronic check,25.2,31.43,1306.3,0.0,0,1571.5,2877.8,50,No,Yes,Yes,0,No,No,No,0,Stayed,Don't know,0
Female,26,Yes,No,0,Yes,Carnelian Bay,96140,1943,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Fiber Optic,Month-to-Month,No,Electronic check,94.1,43.56,1215.6,0.0,0,566.28,1781.88,13,Yes,Yes,Yes,52,Yes,No,Yes,1,Churned,Don't know,1
Female,30,No,No,2,Yes,Alpaugh,93201,1054,Yes,Yes,No,No,No,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,83.75,34.91,1849.95,0.0,0,802.93,2652.88,23,Yes,Yes,Yes,30,Yes,Offer D,Yes,1,Stayed,Don't know,0
Female,22,Yes,No,0,No,Keeler,93530,71,Yes,No,No,No,No,No,No,No,No,,Month-to-Month,No,Mailed check,19.85,3.12,57.2,0.0,0,9.36,66.56,3,No,Yes,No,0,No,No,No,0,Joined,Don't know,0
Female,34,No,No,0,Yes,Korbel,95550,155,Yes,No,No,No,No,No,No,No,No,,Month-to-Month,No,Mailed check,20.35,12.43,76.35,0.0,0,49.72,126.07,4,No,Yes,No,0,No,Offer E,No,0,Churned,Long distance charges,1
Female,37,No,No,1,Yes,Palomar Mountain,92060,234,No,Yes,Yes,No,No,No,No,No,No,DSL,Month-to-Month,No,Bank transfer (automatic),30.5,0.0,30.5,0.0,0,0.0,30.5,1,Yes,No,No,19,Yes,No,Yes,1,Churned,Attitude of service provider,1
Female,37,No,No,3,Yes,Parlier,93648,12587,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Bank transfer (automatic),103.7,35.04,5656.75,0.0,20,1927.2,7603.95,55,Yes,Yes,No,57,No,No,Yes,10,Stayed,Don't know,0
Male,42,No,No,3,Yes,Modesto,95358,30668,Yes,No,No,No,No,No,No,No,No,,Two Year,No,Credit card (automatic),20.4,19.7,1090.6,0.0,0,1063.8,2154.4,54,No,Yes,No,0,No,No,Yes,3,Stayed,Don't know,0
Male,64,No,No,0,No,Glen Ellen,95442,4101,Yes,No,No,No,No,No,No,No,No,,One Year,Yes,Bank transfer (automatic),19.6,37.7,471.85,21.25,0,980.2,1430.8,26,No,Yes,No,0,No,Offer C,No,0,Stayed,Don't know,0
Female,47,No,No,3,Yes,Eureka,95503,23570,Yes,No,No,No,No,No,No,No,No,,Two Year,No,Bank transfer (automatic),19.7,38.39,1396.9,0.0,0,2648.91,4045.81,69,No,Yes,No,0,No,No,Yes,5,Stayed,Don't know,0
Male,23,Yes,No,3,Yes,Moss Beach,94038,3064,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Fiber Optic,One Year,No,Credit card (automatic),91.2,43.01,3247.55,0.0,0,1591.37,4838.92,37,Yes,Yes,No,51,Yes,Offer C,Yes,1,Stayed,Don't know,0
Female,48,No,No,0,Yes,Los Angeles,90058,3642,Yes,No,No,No,No,No,No,No,No,,One Year,No,Bank transfer (automatic),20.45,49.58,900.9,0.0,0,2429.42,3330.32,49,No,Yes,No,0,No,Offer B,Yes,5,Stayed,Don't know,0
Male,28,Yes,No,0,Yes,Los Angeles,90063,55668,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,One Year,No,Bank transfer (automatic),115.8,43.77,7942.15,0.0,0,2888.82,10830.97,66,Yes,Yes,Yes,41,Yes,No,Yes,9,Stayed,Don't know,0
Female,28,Yes,No,0,No,Calexico,92231,27804,Yes,No,No,No,No,No,No,No,No,,One Year,No,Electronic check,20.55,23.12,1343.4,30.53,0,1549.04,2861.91,67,No,Yes,No,0,No,No,No,0,Stayed,Don't know,0
Male,33,No,No,1,Yes,Redding,96003,41476,No,Yes,Yes,No,Yes,Yes,No,No,No,Cable,Two Year,Yes,Credit card (automatic),39.4,0.0,825.4,0.0,0,0.0,825.4,20,Yes,No,No,22,Yes,No,Yes,4,Stayed,Don't know,0
Female,31,No,No,3,No,San Martin,95046,5671,Yes,No,No,No,No,No,No,No,No,,Two Year,Yes,Electronic check,25.1,30.64,1070.15,0.0,0,1317.52,2387.67,43,No,Yes,Yes,0,No,No,No,0,Stayed,Don't know,0
Female,37,No,No,0,Yes,Stockton,95209,30814,Yes,Yes,Yes,No,No,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),89.8,5.08,4959.6,0.0,0,279.4,5239.0,55,Yes,Yes,Yes,9,Yes,Offer B,Yes,2,Stayed,Don't know,0
Female,60,No,No,0,Yes,Los Angeles,90003,58198,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,94.75,16.39,5597.65,0.0,0,967.01,6564.66,59,Yes,Yes,Yes,14,Yes,Offer B,Yes,4,Stayed,Don't know,0
Female,48,No,No,3,Yes,Huntington Park,90255,78114,Yes,No,No,No,No,No,No,No,No,,Two Year,No,Bank transfer (automatic),20.3,19.28,224.5,0.0,0,231.36,455.86,12,No,Yes,No,0,No,No,Yes,3,Stayed,Don't know,0
Male,60,No,No,3,Yes,Yermo,92398,1195,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),75.75,25.26,1929.0,0.0,0,682.02,2611.02,27,Yes,Yes,Yes,23,Yes,Offer C,Yes,7,Stayed,Don't know,0
Male,69,No,Yes,0,No,San Diego,92129,47224,Yes,Yes,Yes,No,No,No,No,No,No,DSL,Month-to-Month,Yes,Electronic check,49.25,43.99,91.1,0.0,0,87.98,179.08,2,Yes,Yes,No,27,Yes,No,No,0,Churned,Competitor made better offer,1
Female,20,Yes,No,0,No,Fremont,94539,46917,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,DSL,One Year,No,Mailed check,78.2,48.91,2078.95,0.0,0,1320.57,3399.52,27,Yes,Yes,No,59,Yes,Offer C,No,0,Stayed,Don't know,0
Male,31,No,No,3,Yes,Santa Rosa,95405,22250,Yes,No,No,No,No,No,No,No,No,,Two Year,No,Credit card (automatic),25.5,23.69,630.6,44.42,0,592.25,1178.43,25,No,Yes,Yes,0,No,No,Yes,1,Stayed,Don't know,0
Male,46,No,No,0,Yes,San Jose,95126,27023,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Cable,One Year,Yes,Bank transfer (automatic),61.6,6.45,1611.0,44.9,0,161.25,1727.35,25,Yes,Yes,No,19,Yes,No,Yes,5,Stayed,Don't know,0
Male,57,No,No,1,No,Tujunga,91042,26753,No,Yes,Yes,Yes,Yes,Yes,No,No,No,DSL,Month-to-Month,Yes,Mailed check,45.0,0.0,1242.45,12.26,0,0.0,1230.19,29,Yes,No,No,21,Yes,No,No,0,Stayed,Don't know,0
Male,19,Yes,No,0,Yes,Visalia,93291,36718,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,DSL,Two Year,Yes,Bank transfer (automatic),85.15,32.36,6316.2,0.0,0,2329.92,8646.12,72,Yes,Yes,Yes,52,Yes,No,Yes,5,Stayed,Don't know,0
Female,64,No,No,0,No,Lodi,95240,45755,Yes,Yes,No,Yes,No,No,No,No,No,Cable,One Year,No,Credit card (automatic),51.45,24.04,727.85,0.0,0,336.56,1064.41,14,Yes,Yes,No,12,Yes,No,No,0,Stayed,Don't know,0
Female,38,No,No,0,No,El Portal,95318,579,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Electronic check,99.25,36.42,3532.0,0.0,0,1274.7,4806.7,35,Yes,Yes,No,2,Yes,Offer C,No,0,Stayed,Don't know,0
Male,54,No,No,0,No,Calistoga,94515,7384,Yes,Yes,No,No,No,No,No,No,No,DSL,Month-to-Month,Yes,Mailed check,44.3,42.95,44.3,0.0,0,42.95,87.25,1,Yes,Yes,No,9,Yes,Offer E,No,0,Joined,Don't know,0
Male,50,No,No,0,No,Farmington,95230,596,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,94.2,2.05,2607.6,0.0,20,59.45,2687.05,29,Yes,Yes,No,17,No,No,No,0,Stayed,Don't know,0
Male,25,Yes,No,0,No,Tulelake,96134,2595,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,DSL,One Year,No,Electronic check,81.25,5.49,5567.55,0.0,40,351.36,5958.91,64,Yes,Yes,Yes,69,No,No,No,0,Stayed,Don't know,0
Female,35,No,No,3,Yes,Coleville,96107,1332,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),99.95,24.38,3767.4,0.0,0,950.82,4718.22,39,Yes,Yes,Yes,53,Yes,No,Yes,1,Stayed,Don't know,0
Female,72,No,Yes,0,No,Ojai,93023,21633,Yes,Yes,No,No,No,No,Yes,Yes,No,Fiber Optic,Two Year,Yes,Electronic check,91.55,44.14,3673.6,0.0,0,1765.6,5439.2,40,Yes,Yes,No,23,Yes,No,No,0,Stayed,Don't know,0
Male,51,No,No,0,No,Desert Hot Springs,92241,5529,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),104.5,37.69,4036.85,0.0,0,1507.6,5544.45,40,Yes,Yes,Yes,15,Yes,No,No,0,Churned,Competitor had better devices,1
Female,78,No,Yes,1,No,North Hollywood,91605,57146,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Fiber Optic,Month-to-Month,Yes,Electronic check,95.0,11.59,1120.3,0.0,120,127.49,1367.79,11,Yes,Yes,No,29,No,Offer D,No,0,Churned,Product dissatisfaction,1
Female,30,No,No,0,Yes,Inverness,94937,1004,Yes,Yes,No,No,No,No,No,No,No,Cable,Month-to-Month,No,Electronic check,50.35,42.66,314.55,0.0,0,255.96,570.51,6,Yes,Yes,Yes,85,Yes,Offer E,Yes,10,Stayed,Don't know,0
Male,58,No,No,0,No,Santa Rosa,95404,35057,Yes,Yes,Yes,No,No,No,No,Yes,Yes,DSL,Month-to-Month,Yes,Mailed check,64.5,2.64,1888.45,0.0,0,79.2,1967.65,30,Yes,Yes,Yes,15,Yes,No,No,0,Stayed,Don't know,0
Male,26,Yes,No,0,No,San Jose,95131,26389,Yes,No,No,No,No,No,No,No,No,,Month-to-Month,Yes,Electronic check,19.4,20.66,529.8,0.0,0,557.82,1087.62,27,No,Yes,No,0,No,No,No,0,Stayed,Don't know,0
Male,66,No,Yes,0,Yes,Wilmington,90744,53323,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Fiber Optic,One Year,Yes,Electronic check,104.8,39.49,7308.95,6.11,0,2764.3,10067.14,70,Yes,Yes,Yes,28,Yes,No,Yes,3,Stayed,Don't know,0
Female,20,Yes,No,0,Yes,Modesto,95357,13343,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Bank transfer (automatic),109.4,8.01,6252.7,0.0,0,456.57,6709.27,57,Yes,Yes,Yes,73,Yes,Offer B,Yes,10,Stayed,Don't know,0
Male,61,No,No,0,Yes,San Diego,92113,47431,Yes,Yes,No,No,Yes,No,No,No,No,DSL,One Year,No,Credit card (automatic),50.3,18.37,2878.55,10.23,0,1065.46,3933.78,58,Yes,Yes,No,18,Yes,No,Yes,10,Stayed,Don't know,0
Male,24,Yes,No,0,No,Rancho Palos Verdes,90275,41263,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,DSL,Month-to-Month,Yes,Bank transfer (automatic),71.4,25.71,1212.1,0.0,0,411.36,1623.46,16,Yes,Yes,Yes,48,Yes,No,No,0,Stayed,Don't know,0
Female,55,No,No,0,Yes,Kenwood,95452,1653,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Electronic check,116.0,38.52,8182.85,0.0,0,2657.88,10840.73,69,Yes,Yes,Yes,27,Yes,Offer A,Yes,3,Stayed,Don't know,0
Male,32,No,No,0,No,West Point,95255,2198,Yes,No,No,No,No,No,No,No,No,,Month-to-Month,Yes,Electronic check,19.85,31.77,19.85,0.0,0,31.77,51.62,1,No,Yes,No,0,No,Offer E,No,0,Churned,Attitude of support person,1
Male,59,No,No,0,No,Los Angeles,90062,29299,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,99.75,40.71,99.75,0.0,0,40.71,140.46,1,Yes,Yes,Yes,25,Yes,No,No,0,Churned,Competitor had better devices,1
Male,71,No,Yes,1,Yes,Morongo Valley,92256,3499,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Mailed check,93.95,31.86,2861.45,0.0,0,1019.52,3880.97,32,Yes,Yes,No,23,Yes,Offer C,Yes,9,Stayed,Don't know,0
Male,49,No,No,2,Yes,Palo Verde,92266,291,Yes,Yes,No,No,Yes,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),90.8,48.71,1442.2,0.0,0,779.36,2221.56,16,Yes,Yes,Yes,12,Yes,Offer D,Yes,8,Stayed,Don't know,0
Male,61,No,No,0,Yes,Valyermo,93563,413,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Cable,One Year,No,Electronic check,84.35,39.55,4059.35,0.0,0,1937.95,5997.3,49,Yes,Yes,Yes,10,Yes,Offer B,Yes,1,Churned,Competitor offered higher download speeds,1
Female,40,No,No,0,Yes,Cambria,93428,6526,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Cable,Two Year,No,Bank transfer (automatic),58.25,0.0,4145.9,0.0,0,0.0,4145.9,71,Yes,No,No,29,Yes,Offer A,Yes,2,Stayed,Don't know,0
Female,39,No,No,0,No,Round Mountain,96084,459,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,No,Electronic check,107.55,49.69,3645.5,0.0,0,1639.77,5285.27,33,Yes,Yes,Yes,12,Yes,No,No,0,Stayed,Don't know,0
Female,21,Yes,No,0,Yes,Klamath,95548,1215,Yes,No,No,No,No,No,No,No,No,,Month-to-Month,Yes,Bank transfer (automatic),19.95,49.6,187.75,0.0,0,496.0,683.75,10,No,Yes,No,0,No,Offer D,Yes,9,Stayed,Don't know,0
Male,24,Yes,No,0,Yes,Fresno,93650,3258,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,111.2,36.26,2317.1,0.0,120,761.46,3198.56,21,Yes,Yes,Yes,59,No,No,Yes,1,Churned,Attitude of service provider,1
Male,52,No,No,1,Yes,Angwin,94508,3641,No,Yes,Yes,Yes,Yes,No,No,No,No,DSL,Month-to-Month,No,Bank transfer (automatic),40.2,0.0,1448.8,0.0,0,0.0,1448.8,37,Yes,No,No,23,Yes,No,Yes,1,Churned,Competitor offered more data,1
Female,71,No,Yes,0,No,Le Grand,95333,3256,Yes,Yes,Yes,No,No,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),85.8,33.74,2193.65,0.0,0,877.24,3070.89,26,Yes,Yes,No,7,Yes,No,No,0,Stayed,Don't know,0
Male,45,No,No,0,No,Redway,95560,1851,No,Yes,Yes,No,No,Yes,No,No,No,DSL,One Year,Yes,Mailed check,35.4,0.0,1748.9,0.0,0,0.0,1748.9,50,Yes,No,No,7,Yes,Offer B,No,0,Stayed,Don't know,0
Female,29,Yes,No,0,No,San Diego,92122,34902,Yes,Yes,No,No,No,No,No,No,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,73.85,28.62,511.25,13.03,0,200.34,698.56,7,Yes,Yes,Yes,26,Yes,No,No,0,Churned,Competitor made better offer,1
Female,62,No,No,0,Yes,Monterey Park,91755,26933,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DSL,Two Year,No,Mailed check,88.1,47.19,5526.75,0.0,0,2878.59,8405.34,61,Yes,Yes,Yes,28,Yes,Offer B,Yes,1,Stayed,Don't know,0
Male,42,No,No,0,No,Big Oak Flat,95305,167,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,101.35,45.92,1553.95,0.0,0,688.8,2242.75,15,Yes,Yes,No,12,Yes,Offer D,No,0,Churned,Attitude of service provider,1
Female,51,No,No,2,No,Stevenson Ranch,91381,9937,No,Yes,Yes,No,No,Yes,No,Yes,Yes,DSL,Month-to-Month,No,Mailed check,45.8,0.0,1147.0,0.0,0,0.0,1147.0,26,Yes,No,No,19,Yes,No,No,0,Stayed,Don't know,0
Male,39,No,No,0,Yes,North Highlands,95660,32202,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,94.65,33.22,6747.35,0.0,0,2391.84,9139.19,72,Yes,Yes,No,23,Yes,No,Yes,9,Stayed,Don't know,0
Male,64,No,No,0,Yes,La Puente,91746,30802,Yes,No,No,No,No,No,No,No,No,,One Year,Yes,Bank transfer (automatic),20.5,27.4,865.05,0.0,0,1205.6,2070.65,44,No,Yes,No,0,No,No,Yes,1,Stayed,Don't know,0
Male,55,No,No,0,No,Glenhaven,95443,175,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Fiber Optic,Month-to-Month,No,Credit card (automatic),89.4,48.78,5976.9,36.02,40,3219.48,9200.36,66,Yes,Yes,Yes,8,No,Offer A,No,0,Stayed,Don't know,0
Female,40,No,No,0,No,Alhambra,91803,30635,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,86.25,36.81,181.65,0.0,0,73.62,255.27,2,Yes,Yes,No,16,Yes,No,No,0,Churned,Competitor offered higher download speeds,1
Female,76,No,Yes,0,No,Santa Monica,90403,23559,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,DSL,One Year,No,Bank transfer (automatic),74.85,7.72,3268.05,17.91,0,339.68,3589.82,44,Yes,Yes,No,17,Yes,No,No,0,Stayed,Don't know,0
Female,57,No,No,0,No,Lodi,95240,45755,Yes,Yes,No,Yes,No,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),89.75,14.38,1052.4,0.0,0,172.56,1224.96,12,Yes,Yes,Yes,6,Yes,Offer D,No,0,Churned,Attitude of support person,1
Male,71,No,Yes,0,Yes,Los Angeles,90001,54492,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Fiber Optic,Two Year,Yes,Electronic check,109.95,18.41,7634.25,0.0,0,1270.29,8904.54,69,Yes,Yes,Yes,17,Yes,No,Yes,1,Stayed,Don't know,0
Female,25,Yes,No,0,No,Fairfield,94533,77683,Yes,Yes,No,Yes,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Mailed check,80.2,1.23,80.2,0.0,0,1.23,81.43,1,Yes,Yes,Yes,69,Yes,Offer E,No,0,Churned,Lack of affordable download/upload speed,1
Female,24,Yes,No,0,No,Stockton,95204,30476,Yes,No,No,No,No,No,No,No,No,,Month-to-Month,No,Mailed check,19.85,25.75,63.75,0.0,0,77.25,141.0,3,No,Yes,No,0,No,Offer E,No,0,Churned,Long distance charges,1
Female,19,Yes,No,0,Yes,Temecula,92592,46171,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Fiber Optic,Month-to-Month,No,Electronic check,90.35,4.65,190.5,0.0,0,9.3,199.8,2,Yes,Yes,No,53,Yes,No,Yes,10,Joined,Don't know,0
Female,77,No,Yes,0,No,Fallbrook,92028,42239,Yes,Yes,No,Yes,Yes,No,No,No,No,Fiber Optic,Two Year,Yes,Bank transfer (automatic),86.45,2.97,2401.05,0.0,0,80.19,2481.24,27,Yes,Yes,Yes,4,Yes,No,No,0,Stayed,Don't know,0
Male,57,No,No,0,No,Randsburg,93554,117,Yes,No,No,No,No,No,No,No,No,,Month-to-Month,Yes,Electronic check,20.3,13.34,511.25,0.0,0,346.84,858.09,26,No,Yes,No,0,No,Offer C,No,0,Stayed,Don't know,0
Female,73,No,Yes,0,Yes,Atascadero,93422,29539,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,101.25,20.15,3949.15,0.0,0,785.85,4735.0,39,Yes,Yes,Yes,21,Yes,No,Yes,9,Stayed,Don't know,0
Male,41,No,No,0,No,Planada,95365,4150,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),94.7,34.88,2362.1,0.0,0,872.0,3234.1,25,Yes,Yes,Yes,8,Yes,No,No,0,Churned,Competitor had better devices,1
Female,43,No,No,0,No,Moorpark,93021,32984,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,No,Mailed check,70.9,39.81,70.9,0.0,0,39.81,110.71,1,Yes,Yes,No,23,Yes,Offer E,No,0,Churned,Competitor had better devices,1
